Author,Handle
Kai-Fu Lee,@kaifulee
Google AI,@GoogleAI
Andrew Ng,@AndrewYNg
Open AI,@OpenAI
Jess Hamrick,@jhamrick
Jason Brownlee,@TeachTheMachine
Lisha Li,@lishali88
Andreas Mueller,@amuellerml
Sebastian Raschka,@rasbt
Ines Montani,@_inesmontani
Peter Skomoroch,@peteskomoroch
Ryan Rosario,@DataJunkie
Kriti Sharma,@sharma_kriti
Ramesh Sampath,@sampathweb
Hilary Mason,@hmason
Michael Galvin,@MikeJGalvin
Abigail Jacobs,@az_jacobs
Yisong Yue,@yisongyue
KDNuggets,@kdnuggets
Kirk Borne,@KirkDBorne
John Keefe,@jkeefe
Caroline Sinders,@carolinesinders
Oriol Vinyals,@OriolVinyalsML
Justin Herman,@JustinHerman
Suchana Seth,@suchanaseth
Max Sklar,@maxsklar
Kendall Dabaghi,@kendalldabaghi
Charlie Oliver,@itscomplicated
Tyler Neylon,@tylerneylon
Hannah Wallach,@hannawallach